0 0 
25594653.1982422 25594708.9233398 25594660.0899849
25658551.7883301 25658607.6965332 25658558.7412627
25722444.8547363 25722500.9155273 25722451.838352
25786353.0273438 25786409.3017578 25786360.1026486
25850245.6970215 25850302.1240234 25850252.8030101
25914193.0541992 25914249.6337891 25914200.1907673
25978144.6228027 25978201.385498 25978151.8204597
26042095.1538086 26042152.0996094 26042102.4125564
26106044.921875 26106102.0202637 26106052.2111976
26170003.5400391 26170060.8215332 26170010.8904372
26233951.1413574 26234008.5754395 26233958.5223345
26297871.1242676 26297928.7109375 26297878.5358763
26361781.9824219 26361839.7521973 26361789.4551971
26425689.9414063 26425747.8942871 26425697.4753536
26489584.9914551 26489643.0969238 26489592.5560816
26553486.4501953 26553544.7387695 26553494.0760064
26617395.4162598 26617453.8574219 26617403.0727235
26681316.0095215 26681374.6032715 26681323.6966157
26745234.7717285 26745293.548584 26745242.5199742
26809149.6276855 26809208.5571289 26809157.4065727
26873071.8078613 26873130.9204102 26873079.6478934
26936993.0114746 26937052.2460938 26937000.8516185
27000907.2570801 27000966.6748047 27000915.1583841
27064805.267334 27064864.8376465 27064813.1993116
27128694.519043 27128754.2724609 27128702.5122283
27192595.0622559 27192654.9682617 27192603.08611
27256495.7275391 27256555.7861328 27256503.7820617
27320394.9584961 27320463.0737305 27320410.9477276
27384311.7980957 27384372.1923828 27384319.9444447
27448226.348877 27448286.895752 27448234.525868
27512162.9943848 27512223.6938477 27512171.2019756
27576091.6442871 27576152.5268555 27576099.9130106
27640022.277832 27640083.3129883 27640030.5771668
27703953.125 27704014.3127441 27703961.4549457
27767879.8217773 27767941.192627 27767888.2128594
27831786.6821289 27831848.2055664 27831795.1038677
27895697.3266602 27895759.0026855 27895705.7790484
27959610.8093262 27959672.6379395 27959619.2923584
28023522.2167969 28023584.197998 28023530.7304771
28087446.2890625 28087508.4533691 28087454.8638841
28151347.2595215 28151409.576416 28151355.865011
28215250.5493164 28215313.0187988 28215259.1854694
28279147.277832 28279209.8999023 28279155.9446611
28343034.4543457 28343097.2595215 28343043.1823865
28406937.6831055 28407000.6103516 28406946.4112923
28470853.2104492 28470916.3208008 28470861.9997938
28534774.9633789 28534838.1958008 28534783.7528342
28598728.0578613 28598791.4733887 28598736.9084026
28662677.0935059 28662740.6616211 28662685.9746234
28726631.5002441 28726695.2209473 28726640.4119276
28790588.104248 28790652.0080566 28790597.0770108
28854548.4924316 28854612.5183105 28854557.4652314
28918492.0654297 28918556.2744141 28918501.0993336
28982442.0776367 28982506.4086914 28982451.1115975
29046395.9655762 29046460.4797363 29046405.0606214
29110336.8835449 29110401.5197754 29110345.9786643
29174278.3813477 29174343.2006836 29174287.5375752
29238219.9401855 29238284.9121094 29238229.1270036
29302163.0554199 29302228.1799316 29302172.2728254
29366109.1003418 29366174.3774414 29366118.3483292
29430054.0466309 29430119.4763184 29430063.3252023
29494030.456543 29494096.0388184 29494039.7656384
29558017.1203613 29558082.8552246 29558026.4599612
29621977.4780273 29622043.3654785 29621986.8481818
29685950.5310059 29686016.5710449 29685959.9316907
29749955.5969238 29750021.8200684 29749965.0585955
29813964.9658203 29814031.3415527 29813974.4579531
29877975.189209 29878041.7175293 29877984.7118012
29942004.1809082 29942070.8618164 29942013.7339241
30006030.6091309 30006097.442627 30006040.1925753
30070056.3049316 30070123.2910156 30070065.918806
30134086.6394043 30134153.7780762 30134096.2836998
30198118.2556152 30198185.546875 30198127.9303294
30262150.4821777 30262217.956543 30262160.2178269
30326183.2580566 30326250.8544922 30326192.9936047
30390224.609375 30390292.388916 30390234.4058407
30454252.5634766 30454320.4956055 30454262.3903679
30518276.184082 30518344.2687988 30518286.0414073
30582301.361084 30582369.5983887 30582311.2488401
30646341.0339355 30646409.4238281 30646350.952095
30710390.9301758 30710459.5031738 30710400.9092365
30774386.8103027 30774455.5053711 30774396.7893328
30838358.7646484 30838427.6123047 30838368.774211
